ID_NOTICIERO,FECHA_TESTIGO,TIPO_VALORACION,CANDIDATO,FRASE_ESTEREOTIPO_GENERAL,FRASE_POSITIVA,FRASE_NEGATIVA,FRASE_ENFOQUE,DURACION_MINUTOS
1,09/04/2024,N,CSP,,,"En la post verdad del presidente López Obrador y de Claudia Sheinbaum, es ""no es cierto, las cifras bajaron y cuando heredamos esto era un desastre, García Luna, Calderón, Peña Nieto, bla, bla, bla, bla, pero le estamos dando la vuelta"". Eso no es cierto.","En la post verdad del presidente López Obrador y de Claudia Sheinbaum, es ""no es cierto, las cifras bajaron y cuando heredamos esto era un desastre, García Luna, Calderón, Peña Nieto, bla, bla, bla, bla, pero le estamos dando la vuelta"". Eso no es cierto.",0.2833333333333333
1,09/04/2024,N,SE,,,"Para poder dejar claro que los programas sociales no se pueden quitar, Ciro, porque están en la Constitución y que a lo mejor pudieran ayudar desde el INE a que eso, pues a que eso ya no se esté difundiendo como mentira por parte de la gente de MORENA.",,0.48333333333333334
1,09/04/2024,P,BXGR,,"Si no le fue mal, quiere decir que le fue razonablemente bien.",,,0.8666666666666667
1,09/04/2024,P,BXGR,,"Un auditorio activo, una comunidad interesada. Y al final yo creo, insisto que las caras, que muchas se reflejaron en redes sociales de Xóchitl Gálvez en donde parecería que estaba contra la pared, arrinconada o agobiada por el peso de las preguntas; pues yo más bien de manera personal, interpreto como una especie de un poco de cansancio físico después de todo, venía de un domingo intenso.",,,0.8
1,09/04/2024,S,BXGR,,,,,13.816666666666665
1,09/04/2024,S,CSP,,,,,14.35
1,09/04/2024,S,JAM,,,,,7.633333333333333
1,09/04/2024,S,SE,,,,,2.95
1,10/04/2024,S,BXGR,,,,,24.2
1,10/04/2024,S,CSP,,,,,10.133333333333333
1,10/04/2024,S,JAM,,,,,0.7999999999999999
1,10/04/2024,S,SE,,,,,8.466666666666669
1,11/03/2024,N,BXGR,,,"Le pide Xóchitl Gálvez que le responda a dos preguntas sobre refinerías y energías; sí, cómo no, seguramente ahí va a estar atento el presidente.","Le pide Xóchitl Gálvez que le responda a dos preguntas sobre refinerías y energías; sí, cómo no, seguramente ahí va a estar atento el presidente.",0.6833333333333333
1,11/03/2024,N,CSP,,,"La verdad es que qué mal, qué mal favor le han hecho, porque ni a la IBERO ¿ni a dónde más? Tampoco hay fecha ya para ir al ITAM, ni a BANAMEX, en fin, pues bueno.",,1.4
1,11/03/2024,S,BXGR,,,,,7.066666666666667
1,11/03/2024,S,CSP,,,,,8.016666666666666
1,11/03/2024,S,JAM,,,,,6.616666666666666
1,11/03/2024,S,SE,,,,,1.5333333333333332
1,11/04/2024,N,CSP,,,"Y ahora está yendo Omar García Harfuch, que fue jefe de la policía, está yendo Ernestina Godoy, está yendo Claudia Sheinbaum a pedirle el voto a las mismas personas a las que abandonaron, que están siendo asesinadas, que están siendo extorsionadas, a las que les están quitando su mínimo patrimonio, en una situación de esclavitud moderna.","Y ahora está yendo Omar García Harfuch, que fue jefe de la policía, está yendo Ernestina Godoy, está yendo Claudia Sheinbaum a pedirle el voto a las mismas personas a las que abandonaron, que están siendo asesinadas, que están siendo extorsionadas, a las que les están quitando su mínimo patrimonio, en una situación de esclavitud moderna.",0.3333333333333333
1,11/04/2024,S,BXGR,,,,,3.2666666666666666
1,11/04/2024,S,CSP,,,,,4.016666666666667
1,11/04/2024,S,JAM,,,,,0.16666666666666666
1,11/04/2024,S,SE,,,,,0.2
1,12/03/2024,N,CSP,,,"Pero estarse defendiendo como lo hace Claudia Sheinbaum con un par de indicadores o con tres o cuatro indicadores y con ese discurso que hoy no tiene ningún sentido, ninguna razón de ser, de que lo que heredaron fue terrible. Y luego lo que propone es inteligencia y coordinación que es lo mismo Manuel, que nos dijo el equipo de Peña Nieto, Miguel Ángel Osorio Chong y todo el equipo de aquel gobierno.","Pero estarse defendiendo como lo hace Claudia Sheinbaum con un par de indicadores o con tres o cuatro indicadores y con ese discurso que hoy no tiene ningún sentido, ninguna razón de ser, de que lo que heredaron fue terrible. Y luego lo que propone es inteligencia y coordinación que es lo mismo Manuel, que nos dijo el equipo de Peña Nieto, Miguel Ángel Osorio Chong y todo el equipo de aquel gobierno.",4.366666666666666
1,12/03/2024,S,BXGR,,,,,19.96666666666667
1,12/03/2024,S,CSP,,,,,16.21666666666667
1,12/03/2024,S,JAM,,,,,6.016666666666667
1,12/04/2024,P,BXGR,,Las dos finalistas o las dos candidatas con la mejor posición sean mujeres.,,,1.3833333333333333
1,12/04/2024,P,BXGR,,"Y que deseo, sea Claudia, sea Xóchitl, ese espíritu. Que además yo pienso, las conozco a las dos desde hace mucho tiempo, yo pienso que son dos muy buenas personas.",,"Y que deseo, sea Claudia, sea Xóchitl, ese espíritu. Que además yo pienso, las conozco a las dos desde hace mucho tiempo, yo pienso que son dos muy buenas personas.",0.4
1,12/04/2024,P,CSP,,Las dos finalistas o las dos candidatas con la mejor posición sean mujeres.,,,1.3833333333333333
1,12/04/2024,P,CSP,,"Y que deseo, sea Claudia, sea Xóchitl, ese espíritu. Que además yo pienso, las conozco a las dos desde hace mucho tiempo, yo pienso que son dos muy buenas personas.",,"Y que deseo, sea Claudia, sea Xóchitl, ese espíritu. Que además yo pienso, las conozco a las dos desde hace mucho tiempo, yo pienso que son dos muy buenas personas.",0.4
1,12/04/2024,S,BXGR,,,,,5.8
1,12/04/2024,S,CSP,,,,,6.766666666666667
1,12/04/2024,S,JAM,,,,,3.5666666666666664
1,12/04/2024,S,SE,,,,,0.23333333333333334
1,13/03/2024,S,BXGR,,,,,2.6833333333333336
1,13/03/2024,S,CSP,,,,,2.6166666666666667
1,13/03/2024,S,JAM,,,,,1.3166666666666667
1,13/03/2024,S,SE,,,,,6.333333333333334
1,14/03/2024,N,JAM,,,"Ahí está, y le faltó decir a Máynez ""¿y García Luna?, ¿y por qué no hacen reportajes sobre García Luna?"" Fue lo único que le faltó. Sí, a Peña Nieto y Añorve, ¡sale! ¿Y hoy? ¿Y hoy, presidente Máynez?, ¿y los transportistas torturados hoy?, ¿y los candidatos asesinados hoy? ""¡No hagan notas de eso! ¡no hagan notas de la violencia de hoy!""","Ahí está, y le faltó decir a Máynez ""¿y García Luna?, ¿y por qué no hacen reportajes sobre García Luna?"" Fue lo único que le faltó. Sí, a Peña Nieto y Añorve, ¡sale! ¿Y hoy? ¿Y hoy, presidente Máynez?, ¿y los transportistas torturados hoy?, ¿y los candidatos asesinados hoy? ""¡No hagan notas de eso! ¡no hagan notas de la violencia de hoy!""",2.4166666666666665
1,14/03/2024,S,BXGR,,,,,6.116666666666667
1,14/03/2024,S,CSP,,,,,15.716666666666669
1,14/03/2024,S,JAM,,,,,3.216666666666667
1,14/03/2024,S,SE,,,,,1.8666666666666667
1,15/03/2024,S,BXGR,,,,,0.65
1,15/03/2024,S,CSP,,,,,4.366666666666666
1,15/03/2024,S,JAM,,,,,2.466666666666667
1,15/03/2024,S,SE,,,,,1.75
1,15/04/2024,S,BXGR,,,,,0.7833333333333333
1,15/04/2024,S,CSP,,,,,10.583333333333332
1,15/04/2024,S,JAM,,,,,0.23333333333333334
1,16/04/2024,S,BXGR,,,,,16.15
1,16/04/2024,S,CSP,,,,,7.416666666666668
1,16/04/2024,S,JAM,,,,,0.4
1,16/04/2024,S,SE,,,,,1.6
1,17/04/2024,S,BXGR,,,,,27.616666666666667
1,17/04/2024,S,CSP,,,,,8.416666666666666
1,17/04/2024,S,JAM,,,,,0.4166666666666667
1,17/04/2024,S,SE,,,,,8.1
1,18/03/2024,S,BXGR,,,,,2.483333333333334
1,18/03/2024,S,CSP,,,,,4.516666666666667
1,18/03/2024,S,JAM,,,,,2.533333333333333
1,18/03/2024,S,SE,,,,,0.3666666666666667
1,18/04/2024,N,JAM,,,"¿Tú coincides, por ejemplo, con tu candidato a la presidencia, con Jorge Álvarez Máynez, candidato de MOVIMIENTO CIUDADANO, cuando dice?: ""Vamos a arrasar y vamos a ganar la candidatura, porque va a haber una sorpresa y los jóvenes van a votar por nosotros"". Algo que se ve dificilísimo por las encuestas.",,0.2
1,18/04/2024,S,BXGR,,,,,6.683333333333333
1,18/04/2024,S,CSP,,,,,7.316666666666666
1,18/04/2024,S,JAM,,,,,1.85
1,18/04/2024,S,SE,,,,,1.1500000000000001
1,19/03/2024,N,BXGR,,,"Con números muy fuertes para Claudia Sheinbaum, también para Xóchitl Gálvez. Una ventaja muy amplia de Claudia Sheinbaum.",,0.23333333333333334
1,19/03/2024,N,BXGR,,,"Durísima, durísimo el 24 por ciento de ventaja de Reforma de Claudia Sheinbaum sobre Xóchitl Gálvez, durísimo por donde se le quiera ver.",,2.3833333333333333
1,19/03/2024,N,JAM,,,"Jorge Álvarez Máynez trae un, pues para lo que ha sido su candidatura, para todos los errores que ha cometido MOVIMIENTO CIUDADANO, no es malo este 8 por ciento. Desde luego, sin ninguna probabilidad de pelear, de hacer nada, 8 por ciento.",,4.433333333333334
1,19/03/2024,P,CSP,,"Con números muy fuertes para Claudia Sheinbaum, también para Xóchitl Gálvez. Una ventaja muy amplia de Claudia Sheinbaum.",,,0.23333333333333334
1,19/03/2024,P,CSP,,"Durísima, durísimo el 24 por ciento de ventaja de Reforma de Claudia Sheinbaum sobre Xóchitl Gálvez, durísimo por donde se le quiera ver.",,,2.3833333333333333
1,19/03/2024,S,BXGR,,,,,19.616666666666664
1,19/03/2024,S,CSP,,,,,27.099999999999998
1,19/03/2024,S,JAM,,,,,9.166666666666666
1,19/03/2024,S,SE,,,,,0.6166666666666667
1,19/04/2024,N,JAM,,,"Un éxito su ""Presidente Máynez"" en Spotify. Como también fue un éxito su na, na, na, na hace seis años y tuvieron menos del 5% de los votos.",,0.6833333333333333
1,19/04/2024,P,JAM,,"¡Y no bailó Máynez? Un éxito su ""Presidente Máynez"" en Spotify. (...) Pero que ya tiene una conquista la campaña de Jorge Máynez, ya la tuvo en Spotify.",,,0.6833333333333333
